2024-07-15 04:07:03,700 INFO    MainThread:95762 [wandb_setup.py:_flush():76] Current SDK version is 0.17.4
2024-07-15 04:07:03,701 INFO    MainThread:95762 [wandb_setup.py:_flush():76] Configure stats pid to 95762
2024-07-15 04:07:03,701 INFO    MainThread:95762 [wandb_setup.py:_flush():76] Loading settings from /Users/weichaozhou/.config/wandb/settings
2024-07-15 04:07:03,701 INFO    MainThread:95762 [wandb_setup.py:_flush():76] Loading settings from /Users/weichaozhou/Workspace/MIT-REALM/ada_cbf/f1tenth_gym/examples/wandb/settings
2024-07-15 04:07:03,701 INFO    MainThread:95762 [wandb_setup.py:_flush():76] Loading settings from environment variables: {'api_key': '***REDACTED***', '_require_core': 'true'}
2024-07-15 04:07:03,701 INFO    MainThread:95762 [wandb_setup.py:_flush():76] Inferring run settings from compute environment: {'program_relpath': 'ada_cbf/f1tenth_gym/examples/waypoint_follow_sysid.py', 'program_abspath': '/Users/weichaozhou/Workspace/MIT-REALM/ada_cbf/f1tenth_gym/examples/waypoint_follow_sysid.py', 'program': '/Users/weichaozhou/Workspace/MIT-REALM/ada_cbf/f1tenth_gym/examples/waypoint_follow_sysid.py'}
2024-07-15 04:07:03,701 INFO    MainThread:95762 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-15 04:07:03,701 INFO    MainThread:95762 [wandb_setup.py:_flush():76] Applying login settings: {}
2024-07-15 04:07:03,701 INFO    MainThread:95762 [wandb_init.py:_log_setup():529] Logging user logs to /Users/weichaozhou/Workspace/MIT-REALM/ada_cbf/f1tenth_gym/examples/wandb/run-20240715_040703-a46995si/logs/debug.log
2024-07-15 04:07:03,701 INFO    MainThread:95762 [wandb_init.py:_log_setup():530] Logging internal logs to /Users/weichaozhou/Workspace/MIT-REALM/ada_cbf/f1tenth_gym/examples/wandb/run-20240715_040703-a46995si/logs/debug-internal.log
2024-07-15 04:07:03,701 INFO    MainThread:95762 [wandb_init.py:init():569] calling init triggers
2024-07-15 04:07:03,701 INFO    MainThread:95762 [wandb_init.py:init():576] wandb.init called with sweep_config: {}
config: {}
2024-07-15 04:07:03,701 INFO    MainThread:95762 [wandb_init.py:init():619] starting backend
2024-07-15 04:07:03,701 INFO    MainThread:95762 [wandb_init.py:init():623] setting up manager
2024-07-15 04:07:03,702 INFO    MainThread:95762 [backend.py:_multiprocessing_setup():105] multiprocessing start_methods=spawn,fork,forkserver, using: spawn
2024-07-15 04:07:03,704 INFO    MainThread:95762 [wandb_init.py:init():631] backend started and connected
2024-07-15 04:07:03,706 INFO    MainThread:95762 [wandb_init.py:init():720] updated telemetry
2024-07-15 04:07:03,729 INFO    MainThread:95762 [wandb_init.py:init():753] communicating run to backend with 90.0 second timeout
2024-07-15 04:07:04,151 INFO    MainThread:95762 [wandb_run.py:_on_init():2402] communicating current version
2024-07-15 04:07:04,152 INFO    MainThread:95762 [wandb_run.py:_on_init():2411] got version response 
2024-07-15 04:07:04,152 INFO    MainThread:95762 [wandb_init.py:init():804] starting run threads in backend
2024-07-15 04:07:04,602 INFO    MainThread:95762 [wandb_run.py:_console_start():2380] atexit reg
2024-07-15 04:07:04,602 INFO    MainThread:95762 [wandb_run.py:_redirect():2235] redirect: wrap_raw
2024-07-15 04:07:04,602 INFO    MainThread:95762 [wandb_run.py:_redirect():2300] Wrapping output streams.
2024-07-15 04:07:04,602 INFO    MainThread:95762 [wandb_run.py:_redirect():2325] Redirects installed.
2024-07-15 04:07:04,603 INFO    MainThread:95762 [wandb_init.py:init():847] run started, returning control to user process
2024-07-15 04:11:53,459 WARNING MsgRouterThr:95762 [router.py:message_loop():77] message_loop has been closed
